,Gene_set,Term,Overlap,P-value,Adjusted P-value,Odds Ratio,Combined Score,Genes,Proteins
0,ReactomePathways.gmt,ABC transporter disorders,1/46,0.4091531993359168,0.5118465843308855,2.8481301741364544,2.5452760252297417,APOA1,F8W696;Q9Y355;P02647;Q8TDB0;A0A024R3E3
1,ReactomePathways.gmt,ABC transporters in lipid homeostasis,1/4,0.04454159087064025,0.15663699364536562,29.678466076696164,92.33955824733346,APOA1,F8W696;Q9Y355;P02647;Q8TDB0;A0A024R3E3
2,ReactomePathways.gmt,ABC-family proteins mediated transport,1/57,0.4793887010147864,0.5900168627874295,2.2981916121585226,1.6897305049753872,APOA1,F8W696;Q9Y355;P02647;Q8TDB0;A0A024R3E3
3,ReactomePathways.gmt,Activation of Matrix Metalloproteinases,1/12,0.12785671140144925,0.25801714733265435,10.667256637168142,21.94089437693483,COL18A1,H7C457;H7BXV5;D3DSM5;P39060-2;P39060-1;Q8NG19;P39060;D3DSM4
4,ReactomePathways.gmt,Alanine metabolism,2/2,0.00012598613157925273,0.0025655357703411466,90.67567567567568,814.2076059105661,GPT;GPT2,Q8TD30-2;B4DPT5;P24298;A0A024R6R2;B3KR40;B4E1C6;Q8TD30
5,ReactomePathways.gmt,Amino acids regulate mTORC1,1/21,0.21307206652677863,0.33611368240843953,6.1907799958839265,9.57171866867647,ATP6V1H,A0A024R7U9;A0A024R7X3;Q9UI12;E5RJG1;B3KUZ7;E5RHH0;Q9UI12-2;B4E054;G3V126;E5RG49;Q8TF11;A0A0D9SG68;E5RK31
6,ReactomePathways.gmt,Amyloid fiber formation,3/42,0.011561902394254501,0.058860594007113826,7.543982730706961,33.64646369945987,TTR;TSPAN14;APOA1,P02766;A6XGL1;Q53WY6;Q8NG11;Q8TDB0;H7BXY6;Q8TDB2;A0A024R3E3;A6NEP9;A6XMH1;Q8NG11-3;E9KL36;Q8N2P5;Q8NG11-2;A0A087WT59;Q9Y355;F8W696;A0A087WV45;P02647
7,ReactomePathways.gmt,Antimicrobial peptides,1/19,0.19487226525488385,0.3209660839492205,6.828454731109598,11.16732987805254,CLU,E5RH61;E5RG36;H0YC35;B4DW11;E7ETB4;P10909;H0YLK8;P10909-3;Q8IWM0;P10909-5;Q6LDQ3;H0YAS8;P10909-4;P10909-2;Q8IWL5;E5RGB0;E5RJZ5;E7ERK6
8,ReactomePathways.gmt,Assembly of collagen fibrils and other multimeric structures,1/21,0.21307206652677863,0.33611368240843953,6.1907799958839265,9.57171866867647,COL18A1,H7C457;H7BXV5;D3DSM5;P39060-2;P39060-1;Q8NG19;P39060;D3DSM4
9,ReactomePathways.gmt,"BMAL1:CLOCK,NPAS2 activates circadian gene expression",1/3,0.0335924293667453,0.1320123540026482,38.16561314791403,129.5132737378945,NAMPT,P43490;B7Z8W6;A0A0C4DFS8;C9JG65;Q658Z1;A0A024R718;C9JF35
10,ReactomePathways.gmt,Bacterial Infection Pathways,1/39,0.3596950907577112,0.4711795340919726,3.3575669317799934,3.433107408353594,ATP6V1H,A0A024R7U9;A0A024R7X3;Q9UI12;E5RJG1;B3KUZ7;E5RHH0;Q9UI12-2;B4E054;G3V126;E5RG49;Q8TF11;A0A0D9SG68;E5RK31
11,ReactomePathways.gmt,Binding and Uptake of Ligands by Scavenger Receptors,2/67,0.17531713962140344,0.3084534200887511,3.3149816483149817,5.771909199465477,HPX;APOA1,F8W696;Q9BS19;P02790;Q9Y355;P02647;B7Z8Q4;Q8TDB0;A0A024R3E3
12,ReactomePathways.gmt,Blockage of phagosome acidification,1/1,0.01132300357568534,0.058860594007113826,89.08849557522124,399.19832429587416,ATP6V1H,A0A024R7U9;A0A024R7X3;Q9UI12;E5RJG1;B3KUZ7;E5RHH0;Q9UI12-2;B4E054;G3V126;E5RG49;Q8TF11;A0A0D9SG68;E5RK31
13,ReactomePathways.gmt,CDC42 GTPase cycle,1/37,0.34483206278981515,0.45436695332305055,3.538053097345133,3.7669571897654444,ABR,Q12979;A0A0G2JQ41;I3L379;B7Z7Z1;B7Z2X0;I3L1U8;Q6ZT60;Q12979-2;B7Z683;Q12979-4;Q12979-3
14,ReactomePathways.gmt,Cardiac conduction,2/37,0.06518236038619651,0.19474898769574386,6.003003003003003,16.39159825634416,ATP2A2;ATP1A1,P05023-2;P16615-2;Q5TC02;P05023-3;P05023-4;Q5TC01;Q58I23;B7Z1N5;P05023;B7Z3V1
15,ReactomePathways.gmt,Cargo recognition for clathrin-mediated endocytosis,1/46,0.4091531993359168,0.5118465843308855,2.8481301741364544,2.5452760252297417,COPS5,E5RG35;A0A024R7W9;E5RHH5;E5RHF2;E5RK55;Q59GH5;H0UI27;E5RFS1;Q92905
16,ReactomePathways.gmt,Carnitine metabolism,1/9,0.09748535950233025,0.22986021608970503,14.044247787610619,32.69575419469378,CPT1A,P50416;P50416-2;A0A024R5F4;B2RAQ8
17,ReactomePathways.gmt,"Cell death signalling via NRAGE, NRIF and NADE",1/12,0.12785671140144925,0.25801714733265435,10.667256637168142,21.94089437693483,ABR,Q12979;A0A0G2JQ41;I3L379;B7Z7Z1;B7Z2X0;I3L1U8;Q6ZT60;Q12979-2;B7Z683;Q12979-4;Q12979-3
